date,state,expected_volume,actual_volume,is_weekend,is_holiday
2024-09-18,Baden-Württemberg,32588,28416,False,False
2024-09-18,Bayern,35092,33922,False,False
2024-09-18,Berlin,42839,38717,False,False
2024-09-18,Brandenburg,21417,24113,False,False
2024-09-18,Bremen,18126,18234,False,False
2024-09-18,Hamburg,33091,31212,False,False
2024-09-18,Hessen,29028,24391,False,False
2024-09-18,Mecklenburg-Vorpommern,16124,14258,False,False
2024-09-18,Niedersachsen,26338,24789,False,False
2024-09-18,Nordrhein-Westfalen,37921,35434,False,False
2024-09-18,Rheinland-Pfalz,23301,18414,False,False
2024-09-18,Saarland,15387,16835,False,False
2024-09-18,Sachsen,23135,21470,False,False
2024-09-18,Sachsen-Anhalt,18452,23184,False,False
2024-09-18,Schleswig-Holstein,21066,18838,False,False
2024-09-18,Thüringen,18262,13397,False,False
2024-09-19,Baden-Württemberg,31782,38151,False,False
2024-09-19,Bayern,33938,33443,False,False
2024-09-19,Berlin,41311,44573,False,False
2024-09-19,Brandenburg,20623,20841,False,False
2024-09-19,Bremen,17550,12966,False,False
2024-09-19,Hamburg,32071,28144,False,False
2024-09-19,Hessen,28135,28623,False,False
2024-09-19,Mecklenburg-Vorpommern,15527,14998,False,False
2024-09-19,Niedersachsen,25402,19270,False,False
2024-09-19,Nordrhein-Westfalen,36588,25615,False,False
2024-09-19,Rheinland-Pfalz,22464,22824,False,False
2024-09-19,Saarland,14899,15149,False,False
2024-09-19,Sachsen,22290,23372,False,False
2024-09-19,Sachsen-Anhalt,17789,18044,False,False
2024-09-19,Schleswig-Holstein,20341,19196,False,False
2024-09-19,Thüringen,17619,11220,False,False
2024-09-20,Baden-Württemberg,34195,34084,False,False
2024-09-20,Bayern,36768,32694,False,False
2024-09-20,Berlin,44793,60703,False,False
2024-09-20,Brandenburg,22358,16141,False,False
2024-09-20,Bremen,19046,21787,False,False
2024-09-20,Hamburg,34595,40904,False,False
2024-09-20,Hessen,30426,29761,False,False
2024-09-20,Mecklenburg-Vorpommern,16981,16391,False,False
2024-09-20,Niedersachsen,27554,28793,False,False
2024-09-20,Nordrhein-Westfalen,39658,34120,False,False
2024-09-20,Rheinland-Pfalz,24426,17912,False,False
2024-09-20,Saarland,16164,18396,False,False
2024-09-20,Sachsen,24336,25046,False,False
2024-09-20,Sachsen-Anhalt,19400,19995,False,False
2024-09-20,Schleswig-Holstein,22020,16066,False,False
2024-09-20,Thüringen,19166,18936,False,False
2024-09-21,Baden-Württemberg,22222,24884,True,False
2024-09-21,Bayern,23803,22058,True,False
2024-09-21,Berlin,28968,32596,True,False
2024-09-21,Brandenburg,14525,14080,True,False
2024-09-21,Bremen,12335,12731,True,False
2024-09-21,Hamburg,22389,18108,True,False
2024-09-21,Hessen,19725,13446,True,False
2024-09-21,Mecklenburg-Vorpommern,10971,11875,True,False
2024-09-21,Niedersachsen,17910,12994,True,False
2024-09-21,Nordrhein-Westfalen,25686,27782,True,False
2024-09-21,Rheinland-Pfalz,15839,14736,True,False
2024-09-21,Saarland,10469,8582,True,False
2024-09-21,Sachsen,15758,14216,True,False
2024-09-21,Sachsen-Anhalt,12558,33533,True,False
2024-09-21,Schleswig-Holstein,14351,14244,True,False
2024-09-21,Thüringen,12433,13025,True,False
2024-09-22,Baden-Württemberg,23151,18214,True,False
2024-09-22,Bayern,24825,23074,True,False
2024-09-22,Berlin,30143,29148,True,False
2024-09-22,Brandenburg,15062,12562,True,False
2024-09-22,Bremen,12850,8274,True,False
2024-09-22,Hamburg,23354,27496,True,False
2024-09-22,Hessen,20560,20717,True,False
2024-09-22,Mecklenburg-Vorpommern,11489,13865,True,False
2024-09-22,Niedersachsen,18582,18674,True,False
2024-09-22,Nordrhein-Westfalen,26736,31233,True,False
2024-09-22,Rheinland-Pfalz,16475,13531,True,False
2024-09-22,Saarland,10913,11739,True,False
2024-09-22,Sachsen,16433,10954,True,False
2024-09-22,Sachsen-Anhalt,13105,14070,True,False
2024-09-22,Schleswig-Holstein,14854,12847,True,False
2024-09-22,Thüringen,12910,12990,True,False
2024-09-23,Baden-Württemberg,34155,39963,False,False
2024-09-23,Bayern,36602,33939,False,False
2024-09-23,Berlin,44619,38700,False,False
2024-09-23,Brandenburg,22318,25792,False,False
2024-09-23,Bremen,18988,18298,False,False
2024-09-23,Hamburg,34499,33378,False,False
2024-09-23,Hessen,30353,34015,False,False
2024-09-23,Mecklenburg-Vorpommern,16940,22517,False,False
2024-09-23,Niedersachsen,27500,30148,False,False
2024-09-23,Nordrhein-Westfalen,39536,39918,False,False
2024-09-23,Rheinland-Pfalz,24349,24052,False,False
2024-09-23,Saarland,16115,20528,False,False
2024-09-23,Sachsen,24189,22195,False,False
2024-09-23,Sachsen-Anhalt,19355,16061,False,False
2024-09-23,Schleswig-Holstein,22008,22601,False,False
2024-09-23,Thüringen,19116,20423,False,False
2024-09-24,Baden-Württemberg,33861,32369,False,False
2024-09-24,Bayern,36288,35882,False,False
2024-09-24,Berlin,44007,43160,False,False
2024-09-24,Brandenburg,22168,27408,False,False
2024-09-24,Bremen,18843,16210,False,False
2024-09-24,Hamburg,34126,34491,False,False
2024-09-24,Hessen,30107,36987,False,False
2024-09-24,Mecklenburg-Vorpommern,16892,11949,False,False
2024-09-24,Niedersachsen,27349,33854,False,False
2024-09-24,Nordrhein-Westfalen,39153,37818,False,False
2024-09-24,Rheinland-Pfalz,24181,25410,False,False
2024-09-24,Saarland,16015,14132,False,False
2024-09-24,Sachsen,24063,24273,False,False
2024-09-24,Sachsen-Anhalt,19254,21593,False,False
2024-09-24,Schleswig-Holstein,21925,24641,False,False
2024-09-24,Thüringen,18984,17013,False,False
2024-09-25,Baden-Württemberg,34382,30280,False,False
2024-09-25,Bayern,36825,46602,False,False
2024-09-25,Berlin,44804,37775,False,False
2024-09-25,Brandenburg,22434,15723,False,False
2024-09-25,Bremen,19140,22236,False,False
2024-09-25,Hamburg,34712,29377,False,False
2024-09-25,Hessen,30555,33676,False,False
2024-09-25,Mecklenburg-Vorpommern,17096,15192,False,False
2024-09-25,Niedersachsen,27684,27982,False,False
2024-09-25,Nordrhein-Westfalen,39780,38344,False,False
2024-09-25,Rheinland-Pfalz,24513,22175,False,False
2024-09-25,Saarland,16242,15055,False,False
2024-09-25,Sachsen,24346,22749,False,False
2024-09-25,Sachsen-Anhalt,19509,16219,False,False
2024-09-25,Schleswig-Holstein,22166,25587,False,False
2024-09-25,Thüringen,19254,16170,False,False
2024-09-26,Baden-Württemberg,33219,25370,False,False
2024-09-26,Bayern,35500,30784,False,False
2024-09-26,Berlin,43101,47423,False,False
2024-09-26,Brandenburg,21700,24810,False,False
2024-09-26,Bremen,18402,15109,False,False
2024-09-26,Hamburg,33322,32210,False,False
2024-09-26,Hessen,29437,29211,False,False
2024-09-26,Mecklenburg-Vorpommern,16502,13859,False,False
2024-09-26,Niedersachsen,26765,25976,False,False
2024-09-26,Nordrhein-Westfalen,38230,41150,False,False
2024-09-26,Rheinland-Pfalz,23653,23254,False,False
2024-09-26,Saarland,15653,13820,False,False
2024-09-26,Sachsen,23577,24457,False,False
2024-09-26,Sachsen-Anhalt,18823,15456,False,False
2024-09-26,Schleswig-Holstein,21451,21765,False,False
2024-09-26,Thüringen,18550,20324,False,False
2024-09-27,Baden-Württemberg,32485,21006,False,False
2024-09-27,Bayern,34725,27387,False,False
2024-09-27,Berlin,42239,37449,False,False
2024-09-27,Brandenburg,21116,24943,False,False
2024-09-27,Bremen,18095,17640,False,False
2024-09-27,Hamburg,32670,34431,False,False
2024-09-27,Hessen,28825,28842,False,False
2024-09-27,Mecklenburg-Vorpommern,16157,18714,False,False
2024-09-27,Niedersachsen,26099,26531,False,False
2024-09-27,Nordrhein-Westfalen,37467,39288,False,False
2024-09-27,Rheinland-Pfalz,23140,26352,False,False
2024-09-27,Saarland,15355,16553,False,False
2024-09-27,Sachsen,23046,25940,False,False
2024-09-27,Sachsen-Anhalt,18432,16068,False,False
2024-09-27,Schleswig-Holstein,20912,16324,False,False
2024-09-27,Thüringen,18192,25123,False,False
2024-09-28,Baden-Württemberg,23073,25494,True,False
2024-09-28,Bayern,24742,52584,True,False
2024-09-28,Berlin,30120,29915,True,False
2024-09-28,Brandenburg,15047,19012,True,False
2024-09-28,Bremen,12786,13559,True,False
2024-09-28,Hamburg,23325,18095,True,False
2024-09-28,Hessen,20495,18370,True,False
2024-09-28,Mecklenburg-Vorpommern,11386,9756,True,False
2024-09-28,Niedersachsen,18523,16535,True,False
2024-09-28,Nordrhein-Westfalen,26674,20779,True,False
2024-09-28,Rheinland-Pfalz,16400,10194,True,False
2024-09-28,Saarland,10848,8149,True,False
2024-09-28,Sachsen,16297,21621,True,False
2024-09-28,Sachsen-Anhalt,13023,13562,True,False
2024-09-28,Schleswig-Holstein,14801,13983,True,False
2024-09-28,Thüringen,12870,13638,True,False
2024-09-29,Baden-Württemberg,21315,26010,True,False
2024-09-29,Bayern,22953,20514,True,False
2024-09-29,Berlin,27879,30346,True,False
2024-09-29,Brandenburg,13951,12673,True,False
2024-09-29,Bremen,11849,10420,True,False
2024-09-29,Hamburg,21595,21138,True,False
2024-09-29,Hessen,18982,16679,True,False
2024-09-29,Mecklenburg-Vorpommern,10545,12820,True,False
2024-09-29,Niedersachsen,17195,18822,True,False
2024-09-29,Nordrhein-Westfalen,24748,24094,True,False
2024-09-29,Rheinland-Pfalz,15228,15217,True,False
2024-09-29,Saarland,10066,7924,True,False
2024-09-29,Sachsen,15169,19927,True,False
2024-09-29,Sachsen-Anhalt,12064,10532,True,False
2024-09-29,Schleswig-Holstein,13737,12382,True,False
2024-09-29,Thüringen,11944,9865,True,False
2024-09-30,Baden-Württemberg,32957,31596,False,False
2024-09-30,Bayern,35289,35276,False,False
2024-09-30,Berlin,42836,39341,False,False
2024-09-30,Brandenburg,21556,18201,False,False
2024-09-30,Bremen,18272,22234,False,False
2024-09-30,Hamburg,33146,32394,False,False
2024-09-30,Hessen,29249,31881,False,False
2024-09-30,Mecklenburg-Vorpommern,16408,12783,False,False
2024-09-30,Niedersachsen,26559,27883,False,False
2024-09-30,Nordrhein-Westfalen,38013,43733,False,False
2024-09-30,Rheinland-Pfalz,23484,20017,False,False
2024-09-30,Saarland,15542,11591,False,False
2024-09-30,Sachsen,23398,23519,False,False
2024-09-30,Sachsen-Anhalt,18703,19431,False,False
2024-09-30,Schleswig-Holstein,21277,23717,False,False
2024-09-30,Thüringen,18407,14740,False,False
2024-10-01,Baden-Württemberg,25694,53307,False,False
2024-10-01,Bayern,27548,27407,False,False
2024-10-01,Berlin,33514,32762,False,False
2024-10-01,Brandenburg,16799,16233,False,False
2024-10-01,Bremen,14293,15546,False,False
2024-10-01,Hamburg,25864,19846,False,False
2024-10-01,Hessen,22820,26308,False,False
2024-10-01,Mecklenburg-Vorpommern,12752,13026,False,False
2024-10-01,Niedersachsen,20727,22827,False,False
2024-10-01,Nordrhein-Westfalen,29704,19561,False,False
2024-10-01,Rheinland-Pfalz,18346,18574,False,False
2024-10-01,Saarland,12141,11322,False,False
2024-10-01,Sachsen,18304,16556,False,False
2024-10-01,Sachsen-Anhalt,14567,15127,False,False
2024-10-01,Schleswig-Holstein,16613,19086,False,False
2024-10-01,Thüringen,14410,16268,False,False
2024-10-02,Baden-Württemberg,24912,28226,False,False
2024-10-02,Bayern,26638,26108,False,False
2024-10-02,Berlin,32282,35976,False,False
2024-10-02,Brandenburg,16196,13484,False,False
2024-10-02,Bremen,13814,13298,False,False
2024-10-02,Hamburg,25069,22335,False,False
2024-10-02,Hessen,22077,28474,False,False
2024-10-02,Mecklenburg-Vorpommern,12259,11777,False,False
2024-10-02,Niedersachsen,20001,20640,False,False
2024-10-02,Nordrhein-Westfalen,28700,20683,False,False
2024-10-02,Rheinland-Pfalz,17691,17035,False,False
2024-10-02,Saarland,11730,10648,False,False
2024-10-02,Sachsen,17635,20797,False,False
2024-10-02,Sachsen-Anhalt,14028,17148,False,False
2024-10-02,Schleswig-Holstein,16039,18393,False,False
2024-10-02,Thüringen,13897,12561,False,False
2024-10-03,Baden-Württemberg,13312,10160,False,True
2024-10-03,Bayern,14278,10584,False,True
2024-10-03,Berlin,17293,16471,False,True
2024-10-03,Brandenburg,8651,13176,False,True
2024-10-03,Bremen,7383,6381,False,True
2024-10-03,Hamburg,13453,10182,False,True
2024-10-03,Hessen,11828,8409,False,True
2024-10-03,Mecklenburg-Vorpommern,6575,6393,False,True
2024-10-03,Niedersachsen,10682,9314,False,True
2024-10-03,Nordrhein-Westfalen,15383,11762,False,True
2024-10-03,Rheinland-Pfalz,9460,6640,False,True
2024-10-03,Saarland,6261,4487,False,True
2024-10-03,Sachsen,9422,7935,False,True
2024-10-03,Sachsen-Anhalt,7510,6124,False,True
2024-10-03,Schleswig-Holstein,8533,6496,False,True
2024-10-03,Thüringen,7424,6045,False,True
2024-10-04,Baden-Württemberg,26371,25271,False,False
2024-10-04,Bayern,28188,22392,False,False
2024-10-04,Berlin,34414,41634,False,False
2024-10-04,Brandenburg,17158,18408,False,False
2024-10-04,Bremen,14643,16090,False,False
2024-10-04,Hamburg,26563,26619,False,False
2024-10-04,Hessen,23373,25887,False,False
2024-10-04,Mecklenburg-Vorpommern,13013,13103,False,False
2024-10-04,Niedersachsen,21176,20882,False,False
2024-10-04,Nordrhein-Westfalen,30440,24741,False,False
2024-10-04,Rheinland-Pfalz,18754,15918,False,False
2024-10-04,Saarland,12426,12258,False,False
2024-10-04,Sachsen,18657,21496,False,False
2024-10-04,Sachsen-Anhalt,14880,15488,False,False
2024-10-04,Schleswig-Holstein,16965,13224,False,False
2024-10-04,Thüringen,14721,12983,False,False
2024-10-05,Baden-Württemberg,17827,20523,True,False
2024-10-05,Bayern,19054,18496,True,False
2024-10-05,Berlin,23076,28237,True,False
2024-10-05,Brandenburg,11587,11186,True,False
2024-10-05,Bremen,9892,13264,True,False
2024-10-05,Hamburg,17908,19797,True,False
2024-10-05,Hessen,15794,14266,True,False
2024-10-05,Mecklenburg-Vorpommern,8791,9159,True,False
2024-10-05,Niedersachsen,14323,19788,True,False
2024-10-05,Nordrhein-Westfalen,20526,20913,True,False
2024-10-05,Rheinland-Pfalz,12666,15725,True,False
2024-10-05,Saarland,8388,8137,True,False
2024-10-05,Sachsen,12633,14336,True,False
2024-10-05,Sachsen-Anhalt,10064,10827,True,False
2024-10-05,Schleswig-Holstein,11484,9907,True,False
2024-10-05,Thüringen,9959,7491,True,False
2024-10-06,Baden-Württemberg,18203,18022,True,False
2024-10-06,Bayern,19472,15817,True,False
2024-10-06,Berlin,23621,26217,True,False
2024-10-06,Brandenburg,11811,10251,True,False
2024-10-06,Bremen,10074,10558,True,False
2024-10-06,Hamburg,18325,21993,True,False
2024-10-06,Hessen,16123,18336,True,False
2024-10-06,Mecklenburg-Vorpommern,8963,8750,True,False
2024-10-06,Niedersachsen,14575,12500,True,False
2024-10-06,Nordrhein-Westfalen,20956,22802,True,False
2024-10-06,Rheinland-Pfalz,12902,13490,True,False
2024-10-06,Saarland,8547,20388,True,False
2024-10-06,Sachsen,12873,10867,True,False
2024-10-06,Sachsen-Anhalt,10239,12772,True,False
2024-10-06,Schleswig-Holstein,11674,12956,True,False
2024-10-06,Thüringen,10099,9216,True,False
2024-10-07,Baden-Württemberg,25481,24182,False,False
2024-10-07,Bayern,27437,22808,False,False
2024-10-07,Berlin,33357,29372,False,False
2024-10-07,Brandenburg,16734,12327,False,False
2024-10-07,Bremen,14187,15065,False,False
2024-10-07,Hamburg,25813,19587,False,False
2024-10-07,Hessen,22708,27210,False,False
2024-10-07,Mecklenburg-Vorpommern,12689,14263,False,False
2024-10-07,Niedersachsen,20611,19658,False,False
2024-10-07,Nordrhein-Westfalen,29614,32010,False,False
2024-10-07,Rheinland-Pfalz,18246,18472,False,False
2024-10-07,Saarland,12058,11407,False,False
2024-10-07,Sachsen,18155,19538,False,False
2024-10-07,Sachsen-Anhalt,14483,9089,False,False
2024-10-07,Schleswig-Holstein,16484,15897,False,False
2024-10-07,Thüringen,14323,15045,False,False
2024-10-08,Baden-Württemberg,25686,28068,False,False
2024-10-08,Bayern,27682,20442,False,False
2024-10-08,Berlin,33432,32238,False,False
2024-10-08,Brandenburg,16818,18679,False,False
2024-10-08,Bremen,14302,14978,False,False
2024-10-08,Hamburg,26019,27753,False,False
2024-10-08,Hessen,22914,27448,False,False
2024-10-08,Mecklenburg-Vorpommern,12793,16261,False,False
2024-10-08,Niedersachsen,20714,23211,False,False
2024-10-08,Nordrhein-Westfalen,29802,31136,False,False
2024-10-08,Rheinland-Pfalz,18361,20667,False,False
2024-10-08,Saarland,12152,12664,False,False
2024-10-08,Sachsen,18318,15467,False,False
2024-10-08,Sachsen-Anhalt,14604,19641,False,False
2024-10-08,Schleswig-Holstein,16548,11816,False,False
2024-10-08,Thüringen,14425,13125,False,False
2024-10-09,Baden-Württemberg,25302,24572,False,False
2024-10-09,Bayern,27275,23990,False,False
2024-10-09,Berlin,33403,27134,False,False
2024-10-09,Brandenburg,16587,32792,False,False
2024-10-09,Bremen,14082,13513,False,False
2024-10-09,Hamburg,25743,29317,False,False
2024-10-09,Hessen,22538,21690,False,False
2024-10-09,Mecklenburg-Vorpommern,12488,13136,False,False
2024-10-09,Niedersachsen,20403,20134,False,False
2024-10-09,Nordrhein-Westfalen,29493,27213,False,False
